id_pedido,data,produto,quantidade,preco_unitario
34,2026-07-14,Smartphone,1,2500.00
18,2026-12-15,Notebook,2,4500.00
41,2026-10-25,Cadeira Gamer,1,1200.00
7,2026-04-01,Monitor 4K,1,1800.00
29,2026-10-05,Fone Bluetooth,3,150.00
1,2026-01-15,Smartphone,1,2500.00
48,2026-03-31,Teclado Mecânico,1,350.00
14,2026-08-05,Cadeira Gamer,1,1200.00
23,2026-08-18,Smartphone,1,2500.00
11,2026-05-12,Smartphone,2,2500.00
3,2026-02-03,Notebook,1,4500.00
45,2026-02-27,Smartphone,1,2500.00
15,2026-09-14,Monitor 4K,2,1800.00
31,2026-04-10,Teclado Mecânico,2,350.00
6,2026-03-12,Fone Bluetooth,3,150.00
25,2026-11-02,Cadeira Gamer,2,1200.00
19,2026-12-20,Fone Bluetooth,5,150.00
38,2026-06-21,Notebook,1,4500.00
9,2026-04-22,Cadeira Gamer,2,1200.00
20,2026-05-20,Teclado Mecânico,2,350.00
16,2026-10-19,Teclado Mecânico,3,350.00
4,2026-02-20,Smartphone,1,2500.00
12,2026-06-18,Fone Bluetooth,4,150.00
33,2026-02-22,Monitor 4K,1,1800.00
2,2026-01-18,Fone Bluetooth,2,150.00
43,2026-04-18,Fone Bluetooth,2,150.00
13,2026-07-22,Notebook,1,4500.00
22,2026-07-10,Monitor 4K,1,1800.00
10,2026-04-29,Teclado Mecânico,1,350.00
30,2026-12-01,Cadeira Gamer,1,1200.00
5,2026-03-05,Cadeira Gamer,1,1200.00
49,2026-11-19,Monitor 4K,1,1800.00
17,2026-11-25,Smartphone,1,2500.00
26,2026-06-05,Teclado Mecânico,1,350.00
8,2026-04-15,Notebook,1,4500.00
35,2026-08-30,Fone Bluetooth,4,150.00
21,2026-02-15,Fone Bluetooth,1,150.00
44,2026-05-05,Monitor 4K,1,1800.00
24,2026-03-25,Notebook,1,4500.00
36,2026-03-19,Cadeira Gamer,1,1200.00
27,2026-09-28,Smartphone,1,2500.00
40,2026-01-08,Smartphone,2,2500.00
28,2026-01-30,Monitor 4K,1,1800.00
42,2026-12-28,Teclado Mecânico,2,350.00
32,2026-05-28,Notebook,1,4500.00
37,2026-11-12,Teclado Mecânico,1,350.00
46,2026-07-29,Fone Bluetooth,3,150.00
39,2026-09-02,Monitor 4K,1,1800.00
47,2026-08-11,Notebook,1,4500.00
50,2026-06-12,Cadeira Gamer,1,1200.00
